ČeskoMoravská Kynologická Unie

# Č esko m oravská k ynologická u nie

## Novinky a upozornění

| 14.8. | Výběrové řízení – nový infor... |
| --- | --- |
| 10.8. | Interdog Bohemia-POZOR ZMĚNA |
| 9.8. | Centrální evidence psů- chov... |
| 3.8. | Byl přidán zápis řádného zas... |
| 9.7. | Vzteklina v Evropě zabíjí. |
| 29.6. | Smutná zpráva |

# Seznam plemen

Na této stránce naleznete seznam všech plemen - standardů. Časem bude u každého plemene doplněn popis a fotografie. Kliknutím na detail plemene se dozvíte které kluby plemeno spravují a které pracoviště plemenné knihy provádí zápisy.

| Číslo FCI | Název | Originální název |
| --- | --- | --- |
| 228 | Afgánský chrt | Afghan Hound |
| 247 | Aidi | Aidi |
| 007 | Airedale terier | Airedale Terrier |
| 255 | Akita | Akita |
| 243 | Aljašský malamut | Alaskan Malamute |
| 254 | Alpský jezevčíkovitý brakýř | Alpenländische Dachsbracke |
| 344 | Americká akita | American Akita |
| 925 | Americký bezsrstý terier | American Hairless Terrier |
| 910 | Americký buldok | American Bulldog |
| 303 | Americký foxhound | American Fox Hound |
| 167 | Americký kokršpaněl | American Cocker Spaniel |
| 286 | Americký stafordširský terier | American Staffordshire Terrier |
| 301 | Americký vodní španěl | American Water Spaniel |
| 325 | Angl.-franc.honič de Petite Venerie | Anglo-Francais de Petite Venerie |
| 149 | Anglický buldok | Bulldog |
| 158 | Anglický chrt (Greyhound) | Greyhound |
| 005 | Anglický kokršpaněl | English Cocker Spaniel |
| 264 | Anglický mastif | Mastiff |
| 002 | Anglický setr | English Setter |
| 125 | Anglický špringr španěl | English Springer Spaniel |
| 013 | Anglický toy terier | Toy Terrier |
| 046 | Appenzellský salašnický pes | Appenzeller Sennenhund |
| 171 | Ardenský bouvier | Bouvier des Ardennes |
| 292 | Argentinská doga | Dogo Argentino |
| 020 | Ariégois | Ariégois |
| 177 | Ariegský ohař krátkosrstý | Braque d Ariége |
| 034 | Artésko-normandský basset | Basset Artésien Normand |
| 028 | Artoisský honič | Chien d Artois |
| 293 | Australská kelpie | Australian Kelpie |
| 287 | Australský honácký pes | Australian Cattledog |
| 351 | Australský honácký pes s krátkým ocasem | Australian Stumpy Tail Cattle Dog |
| 342 | Australský ovčák | Australian Shepherd |
| 236 | Australský Silky terier | Australian Silky Terrier |
| 008 | Australský terier | Australian Terrier |
| 180 | Auvergneský ohař krátkosrstý | Braque d Auvergne |
| 307 | Azavak | Azawakh |
| 105 | Barbet | Barbet |
| 193 | Barzoj - ruský chrt | Borzoi |
| 043 | Basenji | Basenji |
| 163 | Basset Hound | Basset Hound |
